clean_dates,description
2022-10-27,    
2022-10-26,    
2022-10-25,    
2022-10-24,    
2022-10-21,    
2022-10-20,    
2022-10-19,    
2022-10-18,    
2022-10-17,    
2022-10-14,    
2022-10-13,    
2022-10-12,    
2022-10-11,    
2022-10-10,    
2022-10-07,    
2022-10-06,    
2022-10-05,    
2022-10-04,    
2022-10-03,    
2022-09-30,    
2022-09-29,    
2022-09-28,    
2022-09-27,   
2022-09-26,    
2022-09-23,Conferencia de prensa en vivo. Viernes 23 de septiembre 2022   
2022-09-22,    
2022-09-21,Conferencia de prensa en vivo. Miércoles 21 de septiembre 2022   Miércoles 21 de septiembre 2022    
2022-09-20,    
2022-09-15,    
2022-09-14,    
2022-09-13,    
2022-09-12,    
2022-09-09,    
2022-09-08,    
2022-09-07,    
2022-09-06,    
2022-09-05,    
2022-09-02,    
2022-08-31,    
2022-08-30,    
2022-08-29,    
2022-08-26,    
2022-08-25,    
2022-08-24,    
2022-08-23,    
2022-08-22,    
2022-08-19,    
2022-08-18,    
2022-08-17,    
2022-08-16,    
2022-08-15,    
2022-08-12,    
2022-08-11,    
2022-08-10,    
2022-08-09,    
2022-08-08,    
2022-08-05,    
2022-08-04,Presidente propone tregua internacional de cese de confrontaciones    
2022-08-03,"     Nuestra prioridad es la recuperación y el cuidado de ciudades antiguas cerca de la ruta del Tren Maya; este proyecto estratégico mostrará al mundo la riqueza artística, natural y cultural de la región del sureste.   El director general del Instituto Nacional de Antropología e Historia, Diego Prieto Hernández, resaltó que el salvamento arqueológico en el tramo 1, 2 y 3 del Tren Maya cumple con el 100 por ciento de vistos buenos de obra en las vías férreas; además, se trabaja en obras complementarias de prospección.  Las zonas arqueológicas de la ruta Puuc serán atendidas desde el tramo 3, que va de Calkiní a Izamal, en Campeche y Yucatán. Contempla la ciudad prehispánica de Uxmal, Kabah, Sayil, Oxkintok, Labná, Xlapak, Chacmultún y Loltún.  Autorizamos abrir archivos de la Secretaría de Marina sobre la Guerra Sucia; se hará justicia a víctimas de represión y desaparición. Esta acción se suma a las que realiza la Comisión para Acceso a la Verdad, Esclarecimiento Histórico e Impulso a la Justicia de violaciones graves a derechos humanos de 1965 a 1990.  La Subsecretaría de Derechos Humanos, Población y Migración del Gobierno de la Cuarta Transformación da seguimiento a este periodo histórico con el propósito de resarcir los daños que ocasionaron decisiones autoritarias.   Los Programas para el Bienestar llegan a cada hogar del país con atención especial a estados rezagados en el periodo neoliberal como Oaxaca, Chiapas y Guerrero.  En el caso de Oaxaca, un millón 244 mil 311 son beneficiarios de manera directa de los Programas del Bienestar con un avance del 85 por ciento del total de la población. En tanto, hay un millón 125 mil 892 viviendas en el estado, lo que significa que hay más favorecidos por estas iniciativas que hogares.   Invitamos a todo el pueblo a celebrar la Independencia de México el 15 de septiembre en el Zócalo de la Ciudad de México. Los Tigres del Norte serán los encargados de amenizar el festejo patrio y ese mismo día, a las "
2022-08-02,    
2022-08-01,    
2022-07-28,    
2022-07-27,    
2022-07-26,    
2022-07-25,    
2022-07-22,    
2022-07-21,    
2022-07-20,    
2022-07-19,    
2022-07-18,    
2022-07-15,    
2022-07-14,    
2022-07-11,    
2022-07-08,    
2022-07-07,    
2022-07-06,    
2022-07-05,    
2022-07-04,    
2022-06-30,    
2022-06-29,    
2022-06-28,    
2022-06-27,    
2022-06-24,    
2022-06-23,    
2022-06-22,    
2022-06-21,    
2022-06-20,    
2022-06-16,    
2022-06-15,    
2022-06-14,    
2022-06-13,    
2022-06-10,    
2022-06-09,    
2022-06-08,"Reafirmamos el llamado al gobierno de Estados Unidos a unir esfuerzos, recursos y voluntades con el objetivo de generar oportunidades en países de Centroamérica para atender las causas del fenómeno migratorio.   El Gobierno de México promueve que las personas puedan prosperar en sus países natales y no se vean obligadas a abandonarlos.  Nuestros paisanos deben reflexionar su voto y considerar otorgárselo a dirigentes con valores. Las y los migrantes necesitan ser reconocidos como parte fundamental del desarrollo de ese país.  En México no se registra incremento en hospitalizaciones ni fallecimientos por COVID-19. Mantenemos el monitoreo de casos e informaremos de manera oportuna si la situación cambia. Invitamos a todas las personas a completar el esquema de vacunación o aplicarse el refuerzo; de esta manera se previenen cuadros graves de la enfermedad.   La construcción del Tren Maya se realiza con programas de cuidado ambiental como el de Sembrando Vida y acciones de preservación de flora y fauna endémica.   Esta obra no afecta de ninguna manera a la Laguna de los Siete Colores en Bacalar. Los trabajos de construcción están a más de 287 kilómetros de distancia.  En Segalmex se realiza una investigación a fondo por la compra de alimentos. A través de la Secretaría de la Función Pública daremos a conocer el estado que guardan las cuentas de este organismo.  Estaremos pendientes del caso del exgobernador de Chihuahua, César Duarte. Confiamos en que las autoridades locales lleven a cabo un proceso imparcial por todos los delitos. No hay impunidad para nadie.        "
2022-06-07,"    Informamos resultados de la Jornada nacional de reclutamiento y contratación para médicas y médicos especialistas; agradecemos a los más de 10 mil aspirantes que se registraron. Continúa el proceso con la entrega de documentos.   Las especialidades de medicina interna, urgencias médico quirúrgicas, ginecología y obstetricia, pediatría y cirugía general concentran hasta el 63 por ciento de las vacantes. Anestesiología superó la oferta con el 112 por ciento.   El director general del IMSS, Zoé Robledo, destacó que Chiapas, Guerrero y Nayarit no alcanzaron a cubrir el 40 por ciento de sus vacantes. Mil 223 vacantes disponibles están localizadas en municipios con porcentaje de pobreza mayor a la media nacional. El 59 por ciento está en Chiapas, Puebla y Veracruz.   En municipios con rezago social de medio a muy alto se ubican 764 vacantes; el 55 por ciento en Chiapas, Oaxaca y Veracruz. En municipios indígenas hay 585 vacantes localizadas en Chiapas, Hidalgo y Veracruz que no han recibido ni una postulación. Se solucionará esta situación pagando sobresueldos de hasta 50 por ciento.  Estamos decididos a garantizar el derecho a la salud y que todas las personas puedan recibir atención de especialistas cuando así lo requieran.    Reportamos avances en abasto de medicamentos, el equipamiento y el número de trabajadores regularizados a partir de la implementación del Plan de Salud para el Bienestar en Nayarit, Colima y Tlaxcala.  En el Día de la Libertad de Expresión presentamos el Plan de seguridad social para periodistas que trabajan de forma independiente. Del 7 al 30 de junio estará disponible el registro en la plataforma www.imss.gob.mx/periodistas-por-cuenta-propia.   Los trabajadores por honorarios o sin plaza también tendrán derecho a este beneficio. La inscripción iniciará el 1 de agosto de 2022. Esta acción de justicia laboral sin precedentes en el gremio se financiará con el 25 por ciento del presupuesto del Gobierno de México para publicidad.  La pensión propuesta es de 2 mil 139.22 pesos mensuales, es decir, 25 mil 670.64 pesos anuales. Se calculó con base en el salario mínimo profesional aplicable de 377.09 pesos diarios.            "
2022-06-07,    
2022-06-06,    
2022-06-03,    
2022-06-02,    
2022-06-01,    
2022-05-31,    
2022-05-30,    
2022-05-27,    
2022-05-26,    
2022-05-25,    
2022-05-24,    
2022-05-23,    
2022-05-20,    
2022-05-19,    
2022-05-18,    
2022-05-17,   Martes 17 de mayo 2022    
2022-05-16,    
2022-05-13,    
2022-05-12,    
2022-05-11,    
2022-05-17,    
2022-05-09,    
2022-05-05,    
2022-05-04,    
2022-05-03,    
2022-05-02,    
2022-04-29,"    Realizamos el informe de seguridad en Quintana Roo, entidad que mantiene tendencia a la baja en delitos de impacto gracias al trabajo coordinado de los gobiernos federal y estatal.   El secretario de la Defensa Nacional, Luis Cresencio Sandoval González, dio a conocer que 4 mil 649 elementos del Ejército, de la Fuerza Aérea, de la Armada y de la Guardia Nacional, junto con 4 mil 162 efectivos de las policías Estatal y Municipal, hacen un total de 8 mil 811 efectivos desplegados para ayudar a pacificar la región.  Avanza la recolección de sargazo en playas de la entidad, una labor a cargo de la Secretaría de Marina. Reforzamos la estrategia con personal y maquinaria para controlar este fenómeno.  Agradecemos a las comunidades del sureste del país el apoyo que nos han dado y su confianza para continuar con el Tren Maya.   Reafirmamos nuestro compromiso de cuidar el ambiente, de no afectar el hábitat y, al contrario, fortalecerlo con la creación de áreas naturales protegidas y la siembra de más de 400 millones de árboles en los cinco estados por los que pasará el proyecto.  Trabajamos en el programa de reforestación más importante del mundo con una inversión de mil 300 millones de dólares: Sembrando Vida, algo nunca visto en otro país.         "
2022-04-28,    
2022-04-27,    
2022-04-26,    
2022-04-22,   Jueves 21 de abril 2022    
2022-04-21,    
2022-04-20,    
2022-04-19,    
2022-04-18,    
2022-04-13,    
2022-04-11,    
2022-04-08,    
2022-04-06,    
2022-04-05,        
2022-04-05,    
2022-04-04,    
2022-04-01,    
2022-03-31,    
2022-03-30,    
2022-03-31,    
2022-03-28,    
2022-03-25,    
2022-03-24,    
2022-03-23,    
2022-03-22,    
2022-03-21,"   El Gabinete de Seguridad sesionó este día en las instalaciones del nuevo Aeropuerto Internacional Felipe Ángeles, un complejo aeroportuario de primer orden, construido con recursos públicos por gobernar de manera honesta, austera y sin permitir la corrupción. Hoy inicia operaciones una obra del pueblo, construida en beneficio de la nación.  Agradecemos la suma de esfuerzos y voluntades a los gobiernos del Estado de México, de la Ciudad de México e Hidalgo; a los trabajadores de la construcción e ingenieros militares; a los pobladores de municipios aledaños y empresas mexicanas.  El AIFA cuenta con sistemas modernos de radar para controlar despegues y aterrizajes las 24 horas del día. Tiene una extensión de 3 mil hectáreas con una ciudad militar, centro comercial, escuelas, hospitales y museos.   Impulsamos un programa integral de desarrollo urbano en los municipios aledaños al complejo aeroportuario. Está garantizada la conectividad vial al nuevo aeropuerto.   Este lunes habrá 20 operaciones aéreas de Aeroméxico, Volaris, Viva Aerobus y Conviasa. Adicionalmente habrá dos vuelos procedentes de Estados Unidos y dos de carga desde Texas y Coahuila e inicia el servicio de taxis aéreos. El total de pasajeros para el día de hoy será de 2 mil 22 arribando y saliendo de las instalaciones.  Informamos que se mantiene el subsidio en el IEPS del 100 por ciento en los precios de los combustibles. La gasolina Magna cuesta en promedio 21.54 pesos por litro; la Premium, 23.36 pesos y el Diésel, 22.64 pesos, de acuerdo con datos de la Procuraduría Federal del Consumidor.   De acuerdo con la Secretaría de Relaciones Exteriores tenemos registro de entre 50 y 60 mexicanos en Ucrania que no han podido salir de ese país por la existencia de zonas hostiles en el conflicto bélico.       "
2022-03-18,    
2022-03-17,    
2022-03-16,    
2022-03-15,    
2022-03-14,    
2022-03-11,    
2022-03-10,    
2022-03-09,   Miércoles 09 de marzo 2022    
2022-03-08,    
2022-03-07,    
2022-03-04,    
2022-03-03,"    Tras el sismo de 6.2 grados con epicentro en Isla, Veracruz, registrado la mañana de este jueves, los primeros reportes indican que no hay daños.   Mantenemos comunicación con los gobiernos de Ciudad de México, Oaxaca y Veracruz para dar seguimiento y atender a la población.       "
2022-03-03,    
2022-03-02,"    El Gobierno de México está a favor del control de armas y de la reforma migratoria en Estados Unidos.   Reafirmamos la propuesta de regular el flujo migratorio con visas temporales de trabajo y mantener la cooperación con los países centroamericanos para consolidar América del Norte como una región estratégica a partir del incremento de su fuerza laboral.  Continuará el diálogo con el embajador Ken Salazar sobre migración en la frontera sur de México.  La relación bilateral está en una nueva etapa, de igualdad de circunstancias.        "
2022-03-01,    
2022-02-28,    
2022-02-25,    
2022-02-24,    
2022-02-23,    
2022-02-22,    
2022-02-21,    
2022-02-18,   
2022-02-17,    
2022-02-16,    
2022-02-15,    
2022-02-14,    
2022-02-11,    
2022-02-10,    
2022-02-09,    
2022-02-08,    
2022-02-07,    
2022-02-04,     
2022-02-03,     
2022-02-01,    
2022-01-31,    
2022-01-28,    
2022-01-27,    
2022-01-26,    
2022-01-25,    
2022-01-26,"    En un ejercicio inédito para la vida sindical del país, hoy abrimos la conferencia matutina a las propuestas de las y los aspirantes a dirigir el sindicato petrolero.   Esta elección nos atañe a todos porque Pemex es una empresa del pueblo. Hasta hace poco, una cuarta parte del Presupuesto de Egresos de la Federación se conformaba de ingresos petroleros.  De cada peso del presupuesto nacional, 40 centavos provenían del petróleo y actualmente lo mismo: más de un billón de pesos se obtiene por la extracción y los procesos vinculados al petróleo. Entonces es una fuente de financiamiento para el sector público, para que podamos financiar el desarrollo económico, la educación, la salud, el bienestar.  Agradecemos a trabajadores y técnicos que con su trabajo han contribuido a incrementar la producción de petróleo. Con su colaboración y la rehabilitación de seis refinerías, así como la construcción de una nueva en Paraíso, Tabasco, y la planta coquizadora en Tula, Hidalgo, se está fortaleciendo esta gran empresa.   A lo largo de esta semana se presentarán las y los 25 candidatos, cinco cada día. Tendrán oportunidad de dar a conocer sus propuestas durante los 5 minutos que cada uno tendrá para hacer uso de la palabra. Que gane quien tenga más apoyo de los agremiados y se elija con voto libre y secreto.   Cumpliremos el compromiso de inaugurar el Aeropuerto Internacional General Felipe Ángeles el próximo 21 de marzo. Después de la fecha establecida para el inicio formal de operaciones, se prevé realizar un nuevo análisis sobre la conveniencia de ese proyecto.  A finales de 2023 entregaremos el Tren Maya; dedicaremos el fin de semana a supervisar la construcción de los tramos.            "
2022-01-21,    
2022-01-20,    
2022-01-19,    
2022-01-18,    
2022-01-17,    
2022-01-14,    
2022-01-13,    
2022-01-12,        
2022-01-11,    
2022-01-10,    
2022-01-07,    
2022-01-06,    
2022-01-05,    
2022-01-04,    
2022-01-03,    
2021-12-30,    
2021-12-29,    
2021-12-28,    
2021-12-27,    
2021-12-23,    
2021-12-22,    
2021-12-21,    
2021-12-20,    
2021-12-17,     
2021-12-16,    
2021-12-15,    
2021-12-14,    
2021-12-13,    
2021-12-11,    
2021-12-10,    
2021-12-09,    
2021-12-08,    
2021-12-07,     
2021-12-06,    
2021-12-04,"Conferencia de prensa, desde Santa María Rayón, Estado de México. Sábado 04 de diciembre 2021    "
2021-12-03,     
2021-12-02,    
2021-11-30,Conferencia de prensa desde Ciudad de México. Martes 30 de noviembre 2021    
2021-11-29,     
2021-11-26,     
2021-11-25,     
2021-11-24,   
2021-11-23,    
2021-11-22,    
2021-11-17,     
2021-11-16,    
2021-11-15,    
2021-11-12,     
2021-11-11,    
2021-11-10,    
2021-11-08,    
2021-11-05,    
2021-11-04,    
2021-11-03,    
2021-10-29,     
2021-10-28,    
2021-10-27,    
2021-10-26,    
2021-10-25,    
2021-10-22,    
2021-10-21,    
2021-10-20,    
2021-10-19,    
2021-10-18,    
2021-10-15,    
2021-10-14,    
2021-10-13,    
2021-10-12,    
2021-10-11,    
2021-10-08,"    El Diálogo de Seguridad de Alto Nivel entre México y Estados Unidos es una reunión integral muy importante de la que saldrá fortalecida nuestra relación bilateral. Continuaremos el diálogo y priorizaremos el respeto a las soberanías.   Sobre el caso Ayotzinapa, seguiremos actuando con prudencia en el curso de la investigación, en la que hay avances. Esperamos respuesta del primer ministro de Israel, Naftali Bennett, a la carta que enviamos para solicitar la extradición de Tomás Zerón. Israel no puede ser refugio de torturadores. Lo comercial y lo mercantil no puede estar por encima de lo moral.        "
2021-10-07,    
2021-10-06,    
2021-10-05,     
2021-10-04,     
2021-10-01,    
2021-09-30,    
2021-09-29,   
2021-09-27,"Conmemorar la Independencia nos recuerda la lucha por la justicia, la igualdad, la libertad, la democracia y la defensa de nuestra soberanía. Lunes 27 de septiembre 2021   "
2021-09-24,    
2021-09-23,    
2021-09-22,   
2021-09-21,    
2021-09-20,    
2021-09-17,    Anunciamos que el domingo viajaremos a Oaxaca porque el lunes llevaremos a cabo la reunión del Gabinete de Seguridad y la conferencia de prensa matutina en esa entidad.   Previamente participaremos en el izamiento de bandera para recordar a las víctimas de los sismos de 1985 y 2017. Invitamos a toda la población a participar en el Simulacro Nacional 2021 que se realizará el 19 de septiembre a las 
2021-09-14,    
2021-09-13,    
2021-09-10,    
2021-09-09,    
2021-09-08,    
2021-09-07,    
2021-09-06,    
2021-09-03,    
2021-09-02,    
2021-08-31,    
2021-08-30,    
2021-08-27,    
2021-08-26,    
2021-08-25,    
2021-08-24,    
2021-08-23,    
2021-08-20,    
2021-08-19,    
2021-08-18,    
2021-08-17,    
2021-08-16,    
2021-08-13,    
2021-08-12,    
2021-08-11,    
2021-08-10,    
2021-08-09,    
2021-08-06,     
2021-08-05,    
2021-08-04,    
2021-08-03,    
2021-08-02,     
2021-07-30,     
2021-07-29,    
2021-07-28,     
2021-07-27,     
2021-07-26,    
2021-07-23,    
2021-07-22,    
2021-07-21,    
2021-07-20,    
2021-07-16,    
2021-07-15,    
2021-07-14,    
2021-07-13,    
2021-07-12,    
2021-07-09,    
2021-07-08,    
2021-07-06,    
2021-07-05,    
2021-07-02,    
2021-06-30,    
2021-06-29,    
2021-06-28,    
2021-06-25,    
2021-06-24,    
2021-06-23,    
2021-06-22,    
2021-06-21,    
2021-06-17,"    Anunciamos el inicio de la vacunación a personas de 18 a 40 años habitantes de los seis municipios de Baja California. Será el primer estado en el que inmunizaremos a toda la población mayor de edad; lo haremos en máximo diez días con el donativo que nos hizo el gobierno Estados Unidos de dosis de la vacuna Janssen de Johnson & Johnson.   Este operativo especial para reactivar la economía y la actividad comercial en la frontera norte se realizará de manera simultánea al Plan Nacional de Vacunación que continúa en el país. Queremos vacunar a la población de los 39 municipios de la franja fronteriza para que se abra lo más pronto posible.  Después de inmunizar a la población de 18 a 40 años de Baja California se desplegarán las brigadas con los habitantes de Sonora, Chihuahua, Coahuila, Nuevo León y Tamaulipas.   Prevemos que en la última semana de junio iniciará con vacunación a personas de 30 a 39 años tanto en Baja California Sur como en Quintana Roo, un estado en el que se registró un ligero repunte en los contagios de COVID-19 pero que ya estamos atendiendo para controlar.   Agradecemos a las secretarías de la Defensa Nacional, de Marina y de Seguridad y Protección Ciudadana (SSPC) el apoyo para llevar a cabo el operativo en el norte del país.  La titular de la SSPC, Rosa Icela Rodríguez destacó que la meta es aplicar entre 126 mil y 162 mil dosis de vacunas al día, con un promedio estimado de 140 mil. Se instalarán 16 centros de vacunación y participarán 306 células.   Debido a las altas temperaturas que se registran en la región los centros operarán bajo tres modalidades: peatonal, vehicular y mixta.   En función de este factor también variarán los horarios; atenderán de "
2021-06-16,    
2021-06-15,    
2021-06-14,    
2021-06-11,    
2021-06-10,    
2021-06-09,    
2021-06-08,    
2021-06-07,    
2021-06-04,    
2021-06-03,    
2021-06-02,    
2021-06-01,    
2021-05-31,    
2021-05-28,    
2021-05-27,    
2021-05-26,    
2021-05-25,    
2021-05-24,    
2021-05-21,    
2021-05-20,    
2021-05-19,    
2021-05-18,    
2021-05-17,    
2021-05-14,    
2021-05-13,    
2021-05-12,    
2021-05-10,    
2021-05-04,Respaldo y atención a víctimas por accidente en L12 del Metro. Martes 4 de mayo 2021    
2021-05-03,    
2021-04-30,    
2021-04-29,    
2021-04-28,    
2021-04-27,    
2021-04-26,    
2021-04-23,    
2021-04-22,    
2021-04-21,    
2021-04-15,    
2021-04-14,    
2021-04-13,    
2021-04-12,    
2021-04-09,    
2021-04-08,    
2021-04-07,    
2021-04-06,    
2021-04-05,    
2021-03-31,    
2021-03-30,    
2021-03-29,    
2021-03-26,    
2021-03-25,    
2021-03-24,    
2021-03-23,    
2021-03-22,    
2021-03-19,    
2021-03-18,    
2021-03-17,    
2021-03-16,    
2021-03-15,    
2021-03-12,    
2021-03-11,    
2021-03-10,    
2021-03-09,    
2021-03-08,    
2021-03-05,    
2021-03-04,    
2021-03-03,    
2021-03-02,    
2021-03-01,    
2021-02-26,    
2021-02-25,    
2021-02-24,    
